title,description,content,source,published_at,category
How Mormons Helped Make America’s Prepping Industry Into Big Business,"How two big names in mainstream disaster preparedness helped sell Americans on fear, anxiety and a new generator.",Pat expresses especially acute concern about the have and have-not dynamics that pervade any major disaster. Im not so sure Im gonna be strong enough to turn somebody away if they need food. She cont… [+2011 chars],Wired,2026-01-08T11:00:00Z,ecommerce_news
"The trading-card boom is back, and Gen Z is buying like crazy on eBay","Gen Z shoppers are turning to collectible trading cards, like Pokémon and Yu-Gi-Oh!, over other second-hand products, eBay found.","The author is investing in Pokémon cards.Illustration by Thomas Trutschel/Photothek via Getty Images
<ul><li>Collectible trading cards like Pokémon and Yu-Gi-Oh! are popular among Gen Z.</li><li>The… [+2560 chars]",Business Insider,2025-12-13T10:21:01Z,ecommerce_news
Trump Signs Executive Order Loosening Federal Cannabis Restrictions,The order won't legalize cannabis at the federal level.,President Donald Trump signed an executive order in the Oval Office of the White House on Thursday that will reschedule cannabis from a Schedule 1 drug to a Schedule III drug. The move will not legal… [+3800 chars],Gizmodo.com,2025-12-18T20:15:22Z,ecommerce_news
"Don’t Sleep on ‘MAD,’ One of the Wildest Sci-Fi Manga Out Now",'MAD' is basically what would happen if 'Alien: Earth' was a manga and its battles were on par with 'Chainsaw Man' and 'Jujutsu Kaisen.',"In the spirit of putting people onto new series before it becomes unfashionable to claim you were on the ground floor before they blow up in popularity, we’ve decided to put a manga series we previou… [+3550 chars]",Gizmodo.com,2026-01-08T22:00:51Z,ecommerce_news
"Leaker Who Apple Is Suing Says ‘Screw It,’ Here’s the Foldable iPhone Early",The YouTuber doesn't seem fazed by Apple's threats.,"There are a few people that Apple would love to delete from the face of the planet.
Bloombergs Mark Gurman, whos consistently divulging Apples plans, is one. TF International Securities analyst Ming… [+3078 chars]",Gizmodo.com,2025-12-26T14:55:41Z,ecommerce_news
My TOP 8 Walmart deals for Android users from that should STILL arrive by Christmas,Last call for holiday deals at Walmart!,"The Black Friday sales are over, but if you're still wrapping up your Christmas shopping, you're in luck: Walmart's holiday sale is LIVE with a bunch of great deals in tow. While the iconic retailer … [+1049 chars]",Android Central,2025-12-15T18:08:51Z,ecommerce_news
"New leak raises hopes for Galaxy S26 Edge, despite earlier doubts","As whispers of the Samsung Galaxy S26 Edge's demise circulate following disappointing sales, a recent BIS certification leak hints at its potential resurrection.","<ul><li>Samsung Galaxy S26 Edge may not be dead, new BIS certification hints at its existence.</li><li>Contradicting reports suggest potential independence of Galaxy S26 Edge from the main lineup.</l… [+3263 chars]",Android Central,2026-01-05T20:49:59Z,ecommerce_news
Canada is figuring out what to do with its stockpiles of US alcohol,At least four provinces will be using the sales of their American liquor to fund food banks and charities.,"Canadian provinces removed American liquor from store shelves earlier this year.Jennifer Gauthier/REUTERS
<ul><li>Most Canadian provinces pulled US booze off their shelves in March to protest Trump'… [+5190 chars]",Business Insider,2025-12-12T05:02:01Z,ecommerce_news
"Only 7% of Americans Want Their Next Car to Be Electric, Survey Finds","A new Deloitte survey finds price, driving range, and charging concerns are slowing EV adoption.","Americans are still pretty skeptical about electric vehicles. Despite more affordable EV options on the market than ever before, most say theyre planning to buy a traditional gas-powered car for thei… [+2546 chars]",Gizmodo.com,2026-01-07T21:40:38Z,ecommerce_news
Lexus Can’t Build SUVs Fast Enough as Waiting Times Grow,"Lexus has not yet reported detailed sales figures for the 2025 calendar year, but the luxury automaker looks set to shatter more records. Lexus expects sales...","Lexus has not yet reported detailed sales figures for the 2025 calendar year, but the luxury automaker looks set to shatter more records. Lexus expects sales to have exceeded 360,000 units by the tim… [+2813 chars]",Autoblog,2026-01-05T16:15:00Z,ecommerce_news
Electric vehicles had a bumpy road in 2025 — and one pleasant surprise,A suite of pro-EV federal policies have been reversed. Well-known vehicles have been discontinued. Sales plummeted. But interest is holding steady.,"The electric vehicle industry has taken a pummeling this year. The Trump administration, as expected, reversed a whole suite of federal policies that promoted or encouraged EVs.
California's ability… [+5354 chars]",NPR,2025-12-29T10:00:00Z,ecommerce_news
Tesla is offering a barrage of deals as it races to avoid another annual sales decline,"Elon Musk's automaker has introduced a smorgasbord of discounts and deals, with Tesla facing a race to avoid another year of declining sales.","Elon Musk bought Twitter in 2022 and created a system seemingly designed to reward posters who excelled at rage bait.BRENDAN SMIALOWSKI/AFP via Getty Images
<ul><li>Tesla has introduced a wave of in… [+2286 chars]",Business Insider,2025-12-13T08:01:01Z,ecommerce_news
"I'm 57, and I took a $3,000 AI strategy course to ensure I don't get replaced by someone younger",Sales executive Dave Baxter underwent 12 weeks of AI training after realizing a client knew more about the technology than he did.,"Dave Baxter took an AI course in his free time to better understand the technology after concluding that his career depended on it.Justin Obney
<ul><li>Dave Baxter is a sales executive who recently … [+2541 chars]",Business Insider,2026-01-01T10:55:01Z,ecommerce_news
"I shopped at Walmart and Target for my family's holiday gifts. For a few reasons, I'm sticking with the latter.","This December, I shopped for the holidays at Target and Walmart to see which chain had better sales and prices on presents for my kids and husband.","I didn't see a huge difference in pricing between most items on my list at Walmart and Target, but there's one store I'd rather shop for gifts at.Terri Peters
<ul><li>I shopped for Christmas gifts f… [+8635 chars]",Business Insider,2025-12-16T12:25:01Z,ecommerce_news
EV sales are up everywhere in the world — except North America,"Sales of EVs in North America fell by 1% compared to last year, while China was up, confirming the fears of some US auto execs.","Tesla EV chargers.Justin Sullivan/Getty Images
<ul><li>EV sales rose globally by 21%, but declined 1% in North America this year, new data shows.</li><li>The US sales slump follows policy changes, t… [+2072 chars]",Business Insider,2025-12-13T09:02:01Z,ecommerce_news
"When I started my company, my wife and I were in our 20s. Ten years later, we've made over $250 million in sales.","Chirp wellness, founded by Tate Stock, grew from $450 and a barn to $250 million in sales, pivoting from yoga wheels to pain relief tools.","Tate Stock started his company with his now-wife, Hannah.Courtesy of Tate Stock
<ul><li>Tate Stock, with his wife Hannah, founded Chirp, a wellness company.</li><li>He started the business with $450… [+4072 chars]",Business Insider,2026-01-01T16:33:01Z,ecommerce_news
This millennial dreamed of owning his own food business. He did it — but he's facing one big problem.,"Jonas Koh fulfilled his dream of starting a nasi lemak hawker stall. But in an area filled with a frugal older crowd, he's struggling to get sales up.","Jonas Koh, with a plate of nasi lemak in front of his stall, ""The Kumpong Boys.""Aditi Bharade
<ul><li>Jonas Koh has long aspired to be his own boss and open a food business.</li><li>In September 202… [+4603 chars]",Business Insider,2025-12-22T00:08:01Z,ecommerce_news
EVs stumbled into 2026. Now automakers are betting on cheaper cars.,"Tesla and legacy automakers are shifting to budget-friendly EVs amid sales declines, subsidy cuts, and mounting US consumer auto debt concerns.","Legacy automakers are starting to launch lower-priced EVs as high-priced models are phased out. Toyota's C-HR, pictured above, is $35,000.Josh Lefkowitz/Getty Images
<ul><li>Tesla sales declined in … [+5016 chars]",Business Insider,2026-01-10T10:00:01Z,ecommerce_news
